年,月,日,レーティング
2013,5,2,1509
2013,6,11,1505
2013,6,19,1518
2013,6,19,1524
2013,7,2,1517
2013,7,18,1526
2013,7,23,1519
2013,7,26,1514
2013,8,27,1519
2013,9,9,1510
2013,9,17,1519
2013,9,25,1523
2013,10,8,1531
2014,4,4,1536
2014,4,30,1526
2014,5,21,1537
2014,6,4,1531
2014,6,19,1541
2014,6,30,1533
2014,7,11,1524
2014,8,18,1506
2014,8,21,1503
2014,9,3,1512
2014,9,11,1516
2014,9,19,1507
2014,9,24,1514
2015,4,2,1550
2015,4,21,1545
2015,6,9,1538
2015,6,19,1531
2015,6,26,1524
2015,7,9,1522
2015,7,31,1528
2015,8,6,1535
2015,9,10,1520
2015,9,17,1513
2015,10,8,1505
2015,10,29,1511
2015,11,19,1520
2015,11,26,1516
2015,12,18,1520
2015,12,25,1527
2015,1,14,1521
2015,1,21,1514
2015,2,4,1522
2015,2,15,1529
2015,3,3,1528
2015,3,11,1521
2015,3,16,1514
2016,4,5,1506
2016,4,27,1514
2016,5,20,1522
2016,5,30,1530
2016,6,2,1539
2016,6,24,1543
2016,6,24,1550
2016,7,1,1554
2016,7,15,1549
2016,7,21,1558
2016,8,5,1550
2016,8,5,1555
2016,8,12,1561
2016,8,25,1553
2016,9,2,1542
2017,4,14,1536
2017,5,17,1532
2017,6,8,1527
2017,6,29,1531
2017,7,13,1523
2017,7,21,1516
2017,8,1,1533
2017,8,15,1540
2017,8,25,1549
2017,9,7,1541
2017,9,13,1548
2017,9,22,1543
2017,10,6,1537
2017,10,12,1529
2017,10,17,1522
2017,10,27,1513
2017,11,2,1508
2017,12,7,1503
2017,12,25,1508
2017,1,11,1505
2017,1,18,1496
2017,1,23,1486
2017,2,9,1481
2017,3,15,1464
2018,4,25,1457
2018,5,16,1466
2018,6,14,1475
2018,7,19,1497
2018,7,25,1492
2018,8,10,1486
2018,8,23,1474
2018,8,29,1483
2018,9,12,1473
2018,9,20,1486
2018,9,27,1480
2018,10,2,1487
2018,10,9,1482
2018,10,26,1476
2018,11,1,1473
2018,11,16,1465
2018,11,29,1462
2018,12,13,1455
2018,1,11,1461
2018,1,17,1456
2018,2,1,1449
2018,2,8,1445
2018,2,27,1451
2018,3,7,1444
2019,4,18,1438
2019,5,29,1434
2019,6,13,1428
2019,7,4,1423
2020,4,17,1364
2020,5,28,1378
2020,6,12,1374
2020,6,25,1366
2020,7,3,1360
2020,7,16,1370
2020,8,13,1366
2020,8,16,1379
2020,8,28,1371
2020,9,10,1368
2020,9,15,1365
2020,9,18,1358
2020,10,8,1364
2020,10,12,1359
2020,11,19,1351
2020,12,2,1345
2020,12,17,1343
2020,12,29,1337
2020,1,14,1329
2020,1,22,1325
2020,1,27,1323
2020,2,4,1331
2020,3,5,1350
2020,3,18,1348
2020,3,25,1345
2021,5,7,1340
2021,6,2,1335
2021,6,9,1347
2021,7,5,1341
2021,7,16,1353
2021,8,11,1347
2021,8,11,1359
2021,8,19,1355
2021,8,26,1352
2021,12,15,1346
2021,1,14,1360
2021,1,31,1370
2021,2,17,1369
2021,2,24,1367
2021,3,29,1364
2022,4,21,1363
2022,5,12,1375
2022,5,25,1371
2022,6,30,1368
2022,7,21,1364
2022,8,3,1356
2022,8,23,1349
2022,10,25,1342
2022,11,24,1349
