年,月,日,レーティング
2013,4,4,1760
2013,4,9,1761
2013,4,19,1767
2013,4,26,1776
2013,5,2,1768
2013,5,13,1774
2013,5,17,1786
2013,5,24,1780
2013,5,30,1774
2013,6,6,1780
2013,6,18,1770
2013,6,27,1777
2013,7,20,1781
2013,7,24,1788
2013,8,1,1792
2013,8,9,1796
2013,8,22,1787
2013,9,1,1794
2013,9,4,1799
2013,9,14,1790
2013,9,19,1798
2013,10,3,1804
2013,10,10,1807
2013,10,12,1799
2013,10,21,1791
2013,10,31,1795
2013,11,14,1785
2013,11,19,1792
2013,11,22,1798
2013,11,26,1786
2013,11,29,1792
2013,11,29,1795
2013,12,1,1787
2013,12,5,1791
2013,12,26,1795
2013,1,9,1801
2013,1,16,1792
2013,2,3,1797
2013,2,9,1800
2013,2,13,1807
2013,3,5,1798
2013,3,9,1804
2013,3,19,1810
2013,3,23,1814
2013,3,27,1806
2014,4,4,1797
2014,4,10,1801
2015,4,3,1751
2015,5,1,1761
2015,5,8,1764
2015,5,13,1772
2015,5,13,1779
2015,5,17,1788
2015,5,19,1776
2015,6,2,1766
2015,6,11,1771
2015,6,19,1764
2015,6,23,1758
2015,6,27,1753
2015,7,2,1746
2015,7,13,1754
2015,7,17,1759
2015,7,23,1746
2015,7,31,1750
2015,8,6,1742
2015,9,8,1730
2015,9,17,1735
2015,10,1,1727
2015,10,22,1735
2015,10,29,1743
2015,11,12,1734
2015,11,20,1738
2015,12,3,1731
2015,12,11,1721
2015,12,11,1726
2015,1,7,1730
2015,1,19,1724
2015,1,22,1735
2015,1,22,1746
2015,1,28,1738
2015,2,8,1745
2015,2,18,1752
2015,3,10,1762
2015,3,16,1755
2015,3,18,1763
2015,3,18,1768
2015,3,30,1761
2016,4,11,1771
2016,4,26,1764
2016,5,15,1773
2016,5,20,1777
2016,6,2,1780
2016,6,16,1770
2016,6,24,1775
2016,6,30,1766
2016,7,14,1758
2016,7,14,1760
2016,7,29,1767
2016,8,4,1776
2016,8,15,1764
2016,8,26,1773
2016,9,8,1765
2016,9,15,1758
2016,9,21,1748
2016,10,6,1751
2016,10,11,1743
2016,10,15,1749
2016,10,27,1744
2016,11,3,1755
2016,11,6,1750
2016,11,7,1741
2016,11,10,1751
2016,11,14,1756
2016,11,21,1752
2016,11,24,1746
2016,11,28,1738
2016,11,28,1745
2016,12,1,1749
2016,12,7,1743
2016,12,13,1753
2016,12,17,1758
2016,12,21,1761
2016,12,27,1755
2016,1,6,1764
2016,1,10,1768
2016,1,13,1757
2016,1,19,1762
2016,1,26,1774
2016,1,30,1782
2016,1,30,1789
2016,2,8,1780
2016,2,16,1774
2016,2,21,1768
2016,3,3,1776
2016,3,9,1769
2016,3,24,1761
2016,3,31,1767
2017,4,2,1758
2017,4,7,1746
2017,4,13,1749
2017,4,20,1744
2017,4,25,1736
2017,5,12,1727
2017,5,19,1737
2017,5,22,1731
2017,5,26,1740
2017,6,9,1730
2017,6,24,1740
2017,6,29,1733
2017,7,10,1726
2017,7,20,1720
2017,7,26,1713
2017,8,24,1703
2017,8,28,1709
2017,9,16,1712
2017,9,21,1721
2017,10,12,1729
2017,10,19,1734
2017,11,7,1727
2017,11,16,1734
2017,11,23,1728
2017,11,30,1733
2017,12,6,1724
2017,12,6,1730
2017,12,14,1738
2017,12,21,1730
2017,12,27,1723
2017,1,16,1731
2017,1,20,1736
2017,1,23,1742
2017,1,29,1736
2018,4,2,1703
2018,4,11,1698
2018,4,11,1707
2018,4,19,1699
2018,5,11,1706
2018,6,13,1701
2018,6,22,1695
2018,6,28,1707
2018,7,1,1717
2018,7,12,1723
2018,7,18,1717
2018,8,5,1723
2018,8,22,1733
2018,8,29,1721
2018,9,13,1725
2018,9,26,1720
2018,9,29,1712
2018,10,14,1723
2018,10,17,1733
2018,10,24,1737
2018,10,27,1727
2018,11,14,1720
2018,11,22,1726
2018,11,28,1717
2018,12,2,1709
2018,12,5,1719
2018,12,19,1723
2018,1,9,1718
2018,1,16,1710
2018,1,22,1715
2018,1,30,1721
2018,2,6,1711
2018,2,10,1715
2018,2,14,1725
2018,2,27,1731
2018,3,3,1734
2018,3,7,1729
2018,3,7,1739
2018,3,13,1731
2018,3,22,1734
2018,3,29,1724
2019,4,5,1731
2019,4,12,1719
2019,5,17,1723
2020,4,2,1761
2020,4,6,1764
2020,4,10,1754
2020,5,19,1762
2020,6,5,1767
2020,6,11,1775
2020,6,19,1768
2020,6,30,1759
2020,7,9,1755
2020,7,24,1746
2020,7,31,1759
2020,8,7,1764
2020,8,12,1754
2020,8,17,1763
2020,8,25,1772
2020,8,27,1765
2020,9,3,1757
2020,9,8,1758
2020,9,17,1763
2020,9,19,1770
2020,9,29,1763
2020,10,8,1766
2020,10,19,1758
2020,10,29,1751
2020,11,12,1757
2020,11,19,1769
2020,11,26,1761
2020,12,3,1749
2020,12,15,1740
2020,12,24,1747
2020,12,29,1753
2020,1,9,1742
2020,1,9,1749
2020,1,14,1754
2020,1,21,1746
2020,1,26,1737
2020,2,4,1729
2020,2,12,1720
2020,3,4,1726
2020,3,24,1718
2021,4,1,1727
2021,4,8,1721
2021,4,20,1714
2021,5,12,1724
2021,5,21,1715
2021,5,27,1723
2021,6,9,1733
2021,6,12,1738
2021,6,18,1732
2021,6,20,1726
2021,6,22,1733
2021,7,7,1731
2021,7,14,1737
2021,7,28,1726
2021,8,16,1735
2021,9,6,1736
2021,9,15,1746
2021,9,27,1752
2021,9,27,1755
2021,10,15,1759
2021,10,27,1763
2021,11,10,1767
2021,11,28,1759
2021,12,1,1754
2021,12,8,1760
2021,12,18,1764
2021,12,18,1773
2021,12,27,1763
2021,1,12,1771
2021,1,21,1776
2021,1,27,1782
2022,4,6,1794
2022,4,15,1800
2022,4,15,1805
2022,4,20,1794
2022,4,26,1789
2022,5,2,1777
2022,5,11,1783
2022,5,23,1791
2022,6,16,1785
2022,6,27,1791
2022,7,3,1786
2022,7,7,1775
2022,7,14,1765
2022,7,28,1758
2022,8,12,1767
2022,8,18,1757
2022,9,1,1765
2022,9,8,1757
2022,9,29,1749
2022,10,20,1741
2022,10,27,1733
2022,11,10,1724
2022,12,1,1715
2022,12,22,1715
2022,1,12,1715
2022,3,9,1715
