年,月,日,レーティング
2013,4,19,1558
2013,6,25,1554
2013,6,28,1547
2013,7,9,1555
2013,8,2,1564
2013,8,6,1568
2013,8,13,1575
2013,8,23,1568
2013,9,9,1572
2013,9,20,1563
2013,9,24,1555
2013,10,10,1565
2013,10,29,1561
2013,11,7,1555
2013,11,26,1565
2013,12,5,1571
2013,12,17,1563
2014,4,15,1576
2014,4,28,1569
2014,5,6,1577
2014,6,4,1566
2014,6,10,1558
2014,7,3,1570
2014,7,8,1557
2014,8,8,1564
2014,8,26,1566
2014,9,16,1554
2014,9,22,1545
2014,10,24,1553
2014,11,12,1555
2014,11,17,1560
2015,4,13,1598
2015,4,21,1606
2015,4,30,1613
2015,5,22,1621
2015,5,29,1629
2015,6,2,1621
2015,6,8,1627
2015,6,23,1632
2015,7,1,1624
2015,7,17,1621
2015,7,17,1627
2015,7,21,1623
2015,8,12,1617
2015,9,4,1612
2015,9,4,1616
2015,9,15,1607
2015,10,2,1599
2015,10,6,1590
2015,10,13,1596
2015,11,12,1588
2015,11,17,1577
2015,12,3,1583
2015,12,8,1577
2015,12,22,1582
2015,1,21,1589
2015,1,26,1598
2015,2,9,1604
2015,2,23,1597
2015,3,1,1590
2015,3,8,1584
2015,3,14,1592
2016,4,15,1588
2016,5,2,1596
2016,5,9,1585
2016,6,1,1595
2016,6,7,1588
2016,6,21,1578
2016,6,21,1582
2016,7,5,1575
2016,7,14,1569
2016,7,26,1564
2016,7,26,1574
2016,8,12,1566
2016,8,12,1572
2016,8,30,1566
2016,9,13,1572
2016,10,4,1564
2016,10,13,1553
2016,10,17,1562
2016,10,25,1550
2016,11,2,1558
2016,11,9,1554
2016,11,15,1542
2016,12,19,1539
2016,1,10,1530
2016,2,7,1535
2016,2,14,1545
2016,2,17,1538
2016,2,23,1551
2016,3,9,1546
2016,3,17,1553
2017,4,13,1549
2017,6,13,1546
2017,6,23,1551
2017,6,30,1541
2017,7,11,1545
2017,7,18,1536
2017,8,2,1520
2018,4,17,1467
2018,6,1,1463
2018,6,19,1455
2018,6,29,1467
2018,7,3,1461
2018,7,31,1462
2018,8,7,1454
2018,9,21,1447
2018,9,25,1453
2018,10,11,1462
2018,10,23,1471
2018,11,1,1481
2018,11,8,1494
2018,11,20,1502
2018,12,3,1510
2018,12,18,1503
2018,1,8,1496
2018,1,16,1487
2018,1,24,1484
2018,2,5,1481
2018,2,14,1491
2018,2,26,1526
2018,3,5,1521
2018,3,25,1532
2019,4,17,1524
2019,5,7,1520
2019,6,9,1511
2019,6,18,1505
2019,6,26,1498
2019,7,2,1503
2019,7,15,1499
2019,8,6,1490
2019,8,13,1499
2019,9,3,1512
2019,10,5,1519
2019,10,5,1524
2019,10,15,1536
2019,10,24,1527
2019,11,5,1532
2019,11,19,1522
2019,11,26,1527
2019,12,3,1537
2019,12,6,1541
2019,12,16,1533
2019,1,14,1530
2019,1,20,1521
2019,1,27,1516
2019,1,31,1520
2019,2,4,1528
2019,2,18,1524
2019,2,20,1518
2019,2,26,1511
2019,3,3,1505
2020,4,2,1504
2020,5,15,1514
2020,5,31,1508
2020,5,31,1513
2020,6,8,1520
2020,6,16,1532
2020,7,14,1543
2020,7,22,1538
2020,8,11,1534
2020,8,16,1541
2020,8,27,1536
2020,9,3,1532
2020,9,8,1527
2020,9,25,1535
2020,9,29,1538
2020,10,14,1531
2020,10,20,1522
2020,11,17,1517
2020,12,1,1510
2020,12,15,1519
2020,12,29,1512
2020,1,6,1516
2020,1,12,1528
2020,1,20,1523
2020,1,28,1518
2020,2,2,1511
2020,2,13,1518
2020,3,1,1517
2020,3,9,1509
2020,3,25,1519
2021,4,16,1513
2021,5,11,1510
2021,5,11,1518
2021,5,18,1526
2021,6,15,1517
2021,6,30,1514
2021,7,13,1512
2021,7,20,1519
2021,8,3,1514
2021,8,12,1508
2021,8,24,1513
2021,9,6,1525
2021,9,21,1514
2021,10,22,1506
2021,11,2,1515
2021,11,16,1523
2021,11,26,1532
2021,12,14,1540
2021,1,6,1546
2021,1,6,1556
2021,1,11,1550
2021,1,21,1541
2021,1,27,1552
2021,2,1,1546
2021,2,8,1552
2021,2,17,1544
2021,2,17,1554
2021,2,17,1560
2021,3,1,1554
2021,3,8,1560
2021,3,18,1553
2022,4,7,1541
2022,4,15,1552
2022,5,9,1547
2022,5,17,1543
2022,5,17,1547
2022,6,7,1539
2022,6,14,1531
2022,7,1,1528
2022,7,12,1533
2022,7,22,1525
2022,8,5,1518
2022,8,9,1524
2022,8,26,1519
2022,8,30,1511
2022,9,15,1519
2022,9,27,1523
2022,10,11,1519
2022,10,26,1515
2022,11,8,1512
2022,11,15,1522
2022,12,6,1520
2022,1,10,1520
2022,2,7,1520
2022,3,7,1520
