年,月,日,レーティング
2013,4,30,1721
2013,5,8,1726
2013,5,22,1735
2013,5,26,1723
2013,5,31,1716
2013,6,6,1723
2013,6,15,1730
2013,6,27,1724
2013,7,4,1717
2013,7,18,1723
2013,7,27,1715
2013,8,1,1723
2013,8,6,1717
2013,8,22,1712
2013,8,28,1702
2013,9,19,1712
2013,9,27,1706
2013,10,1,1708
2013,10,10,1697
2013,10,17,1705
2013,10,23,1708
2013,10,31,1705
2013,11,14,1712
2013,12,9,1718
2013,12,11,1713
2013,12,27,1723
2013,1,16,1716
2013,1,30,1722
2013,2,13,1727
2013,2,18,1734
2013,3,5,1727
2013,3,19,1736
2014,4,8,1733
2014,5,8,1737
2014,5,16,1730
2014,5,18,1722
2014,5,20,1726
2014,5,20,1731
2014,6,5,1726
2014,7,3,1735
2014,7,17,1741
2014,7,31,1750
2014,8,24,1755
2014,8,28,1746
2014,9,2,1751
2014,9,25,1745
2014,10,9,1736
2014,10,15,1745
2014,10,23,1746
2014,10,30,1756
2014,11,5,1759
2014,11,13,1762
2014,11,17,1767
2014,11,17,1771
2014,11,27,1763
2014,12,5,1755
2014,12,25,1761
2014,1,8,1752
2014,1,15,1744
2014,1,22,1754
2014,1,29,1747
2014,2,2,1752
2014,2,5,1746
2014,2,19,1732
2014,2,24,1743
2014,3,13,1733
2014,3,17,1727
2015,4,1,1731
2015,4,1,1735
2015,4,18,1728
2015,4,23,1737
2015,5,1,1730
2015,5,18,1737
2015,5,20,1744
2015,6,11,1752
2015,6,19,1759
2015,7,2,1754
2015,7,9,1743
2015,7,12,1733
2015,7,16,1724
2015,7,23,1728
2015,9,9,1722
2015,9,9,1725
2015,10,1,1733
2015,10,17,1726
2015,10,22,1731
2015,11,4,1723
2015,11,12,1728
2015,11,17,1722
2015,11,25,1730
2015,12,3,1736
2015,12,6,1744
2015,12,13,1754
2015,12,15,1764
2015,12,15,1768
2015,12,17,1759
2015,1,7,1765
2015,1,21,1756
2015,1,28,1761
2015,2,18,1765
2015,2,23,1769
2015,2,25,1773
2015,3,4,1778
2015,3,10,1786
2015,3,14,1779
2015,3,18,1783
2015,3,23,1775
2015,3,25,1781
2015,3,26,1783
2015,3,30,1775
2016,4,13,1766
2016,4,22,1760
2016,5,11,1746
2016,5,13,1756
2016,5,17,1763
2016,5,25,1767
2016,6,3,1761
2016,6,16,1770
2016,6,22,1775
2016,6,30,1779
2016,7,6,1787
2016,7,10,1774
2016,7,21,1779
2016,7,29,1772
2016,8,4,1761
2016,8,10,1766
2016,8,26,1755
2016,8,26,1758
2016,9,5,1762
2016,9,15,1763
2016,9,24,1771
2016,10,1,1777
2016,10,21,1771
2016,10,27,1776
2016,11,10,1766
2016,11,13,1775
2016,11,14,1770
2016,11,18,1778
2016,11,25,1768
2016,12,2,1773
2016,12,14,1777
2016,12,22,1787
2016,12,28,1794
2016,1,26,1798
2016,2,2,1791
2016,2,8,1784
2016,2,16,1778
2016,2,24,1783
2016,3,3,1793
2016,3,9,1785
2016,3,17,1775
2016,3,24,1766
2016,3,27,1758
2017,4,7,1749
2017,4,7,1754
2017,4,17,1762
2017,4,26,1765
2017,5,17,1756
2017,5,19,1761
2017,5,22,1763
2017,5,30,1770
2017,6,9,1761
2017,6,29,1766
2017,7,7,1774
2017,7,13,1768
2017,7,16,1762
2017,7,20,1770
2017,7,29,1762
2017,8,2,1770
2017,8,2,1778
2017,8,16,1767
2017,9,16,1755
2017,9,21,1766
2017,9,28,1755
2017,10,14,1758
2017,10,19,1767
2017,11,2,1774
2017,11,16,1783
2017,11,19,1792
2017,11,19,1801
2017,11,30,1812
2017,12,12,1820
2017,12,21,1808
2017,12,23,1798
2017,1,11,1790
2017,1,14,1798
2017,1,18,1803
2017,2,2,1793
2017,2,11,1800
2017,2,15,1808
2017,2,22,1799
2017,3,5,1788
2017,3,9,1776
2017,3,11,1785
2017,3,18,1792
2017,3,21,1801
2018,4,6,1790
2018,4,24,1795
2018,5,11,1785
2018,6,14,1777
2018,6,20,1769
2018,6,28,1775
2018,7,12,1784
2018,7,19,1772
2018,8,1,1778
2018,8,1,1779
2018,8,9,1780
2018,8,12,1787
2018,8,30,1794
2018,9,8,1798
2018,9,14,1790
2018,9,20,1799
2018,9,27,1805
2018,10,18,1795
2018,11,1,1787
2018,11,15,1778
2018,11,22,1788
2018,11,30,1780
2018,12,2,1788
2018,12,3,1778
2018,12,3,1782
2018,12,10,1774
2018,12,13,1764
2018,12,19,1768
2018,1,10,1771
2018,1,24,1763
2018,2,4,1756
2018,2,14,1764
2018,2,20,1754
2018,3,6,1758
2018,3,8,1762
2018,3,14,1754
2018,3,19,1760
2019,4,5,1767
2019,4,12,1756
2019,4,16,1761
2019,5,8,1756
2019,5,8,1764
2020,4,6,1730
2020,4,12,1739
2020,4,24,1744
2020,5,26,1749
2020,6,2,1738
2020,6,18,1734
2020,6,22,1730
2020,7,9,1724
2020,7,30,1733
2020,8,27,1739
2020,9,13,1750
2020,9,17,1759
2020,9,24,1768
2020,10,8,1754
2020,10,29,1762
2020,11,6,1754
2020,11,12,1755
2020,11,20,1761
2020,12,3,1752
2020,12,11,1759
2020,12,16,1761
2020,12,24,1771
2020,12,28,1783
2020,1,10,1785
2020,1,14,1791
2020,1,27,1796
2020,2,4,1801
2020,2,7,1793
2020,2,11,1799
2020,2,25,1807
2020,3,7,1811
2020,3,11,1803
