年,月,日,レーティング
2013,4,18,1840
2013,4,23,1850
2013,4,26,1853
2013,5,1,1844
2013,5,13,1848
2013,5,17,1853
2013,5,29,1859
2013,6,5,1850
2013,6,15,1840
2013,6,20,1846
2013,7,26,1853
2013,8,9,1847
2013,8,24,1839
2013,9,9,1833
2013,9,13,1840
2013,9,29,1832
2013,10,2,1824
2013,10,11,1829
2013,10,17,1819
2013,10,28,1826
2013,11,5,1830
2013,11,12,1838
2013,11,21,1828
2013,11,25,1823
2013,11,25,1825
2013,11,28,1812
2013,12,2,1805
2013,12,6,1813
2013,1,9,1819
2013,1,23,1810
2013,1,30,1797
2013,2,5,1806
2013,2,14,1813
2013,2,20,1823
2013,2,28,1813
2013,3,7,1802
2013,3,28,1812
2014,4,8,1802
2014,5,1,1790
2014,5,8,1796
2014,5,12,1803
2014,5,29,1807
2014,6,5,1800
2014,6,10,1805
2014,7,1,1812
2014,7,11,1815
2014,7,19,1824
2014,7,26,1833
2014,7,31,1825
2014,8,27,1828
2014,9,2,1833
2014,9,13,1839
2014,10,3,1831
2014,10,8,1821
2014,10,12,1827
2014,10,23,1816
2014,11,7,1808
2014,11,13,1802
2014,11,18,1794
2014,11,20,1803
2014,11,26,1812
2014,12,1,1802
2014,12,5,1813
2014,12,10,1820
2014,12,13,1815
2014,12,13,1818
2014,12,16,1804
2014,12,19,1796
2014,1,9,1788
2014,1,14,1779
2014,1,23,1785
2014,2,6,1794
2014,2,11,1802
2014,2,19,1810
2014,3,1,1805
2014,3,9,1797
2014,3,16,1805
2014,3,20,1813
2014,3,24,1819
2015,4,8,1821
2015,4,16,1824
2015,4,22,1817
2015,5,7,1824
2015,5,13,1815
2015,5,18,1806
2015,5,26,1812
2015,5,29,1818
2015,6,3,1810
2015,6,19,1814
2015,6,26,1805
2015,7,16,1799
2015,7,18,1800
2015,7,24,1794
2015,7,29,1786
2015,8,21,1778
2015,8,27,1787
2015,9,27,1791
2015,10,2,1783
2015,10,14,1778
2015,10,16,1771
2015,10,21,1763
2015,10,30,1772
2015,11,6,1779
2015,11,12,1790
2015,11,17,1784
2015,11,20,1792
2015,11,22,1801
2015,11,25,1805
2015,12,3,1796
2015,12,16,1801
2015,12,21,1808
2015,12,25,1802
2015,12,25,1804
2015,12,28,1793
2015,1,8,1788
2015,1,14,1779
2015,1,17,1787
2015,2,1,1781
2015,2,9,1772
2015,2,27,1781
2015,3,4,1774
2015,3,10,1781
2015,3,22,1787
2015,3,31,1793
2016,4,4,1783
2016,4,8,1775
2016,4,22,1764
2016,5,11,1768
2016,5,17,1761
2016,5,27,1753
2016,6,23,1744
2016,7,5,1737
2016,7,5,1747
2016,7,21,1735
2016,7,30,1745
2016,8,31,1752
2016,9,9,1746
2016,9,24,1737
2016,9,27,1746
2016,10,5,1736
2016,10,8,1729
2016,10,12,1724
2016,10,16,1710
2016,11,16,1717
2016,12,4,1708
2016,12,6,1717
2016,12,20,1707
2016,1,10,1702
2016,1,20,1697
2016,1,25,1706
2016,2,1,1715
2016,2,12,1724
2016,2,25,1734
2016,3,9,1744
2016,3,12,1752
2016,3,16,1763
2016,3,26,1767
2017,4,8,1774
2017,4,13,1781
2017,4,19,1785
2017,4,21,1778
2017,5,2,1769
2017,5,11,1759
2017,6,9,1753
2017,7,4,1747
2017,7,7,1738
2017,7,28,1730
2017,8,14,1739
2017,8,23,1733
2017,8,30,1725
2017,9,13,1721
2017,9,28,1732
2017,10,7,1736
2017,10,7,1746
2017,10,12,1752
2017,10,22,1761
2017,11,10,1765
2017,12,6,1753
2017,12,14,1759
2017,12,21,1767
2017,1,11,1753
2017,1,18,1763
2017,1,21,1751
2017,2,1,1744
2017,2,8,1735
2017,3,2,1726
2017,3,10,1733
2017,3,16,1728
2017,3,29,1736
2018,4,6,1742
2018,4,12,1732
2018,4,18,1740
2018,5,11,1734
2018,5,22,1744
2018,5,29,1754
2018,6,14,1763
2018,6,28,1757
2018,7,6,1765
2018,7,8,1770
2018,7,11,1774
2018,7,25,1766
2018,8,6,1760
2018,8,15,1766
2018,9,1,1759
2018,9,10,1750
2018,9,15,1752
2018,9,15,1756
2018,9,21,1757
2018,9,30,1751
2018,10,2,1743
2018,10,18,1752
2018,10,29,1761
2018,11,7,1754
2018,11,12,1762
2018,11,22,1749
2018,12,8,1758
2018,12,8,1765
2018,12,17,1773
2018,12,28,1766
2018,1,7,1758
2018,1,10,1754
2018,1,24,1763
2018,1,31,1758
2018,2,4,1751
2018,2,19,1743
2018,3,1,1735
2018,3,18,1726
2019,4,15,1734
2019,5,8,1742
2019,5,28,1734
2019,6,12,1727
2019,6,22,1737
2019,7,18,1743
2019,7,26,1738
2019,8,13,1747
2019,9,1,1734
2019,9,13,1737
2019,9,19,1747
2019,9,27,1744
2019,10,8,1747
2019,10,21,1756
2019,11,8,1764
2019,11,22,1756
2019,12,5,1748
2019,12,12,1737
2019,12,22,1730
2019,12,24,1721
2019,1,15,1724
2019,1,20,1731
2019,1,26,1742
2019,1,29,1735
2019,2,14,1728
2019,2,27,1738
2019,3,3,1748
2019,3,6,1740
2019,3,9,1734
2019,3,19,1740
2019,3,31,1731
2020,4,10,1740
2020,6,2,1732
2020,6,17,1742
2020,6,25,1734
2020,7,2,1746
2020,7,15,1740
2020,7,27,1733
2020,8,16,1723
2020,8,26,1713
2020,9,25,1720
2020,10,5,1728
2020,10,7,1716
2020,10,23,1718
2020,11,6,1727
2020,11,10,1716
2020,11,23,1718
2020,12,11,1713
2020,12,15,1706
2020,12,28,1699
2020,1,12,1706
2020,2,3,1701
2020,2,18,1714
2020,2,26,1707
2020,3,4,1701
2020,3,16,1708
2020,3,26,1702
2021,4,9,1712
2021,4,27,1717
2021,5,6,1708
2021,5,25,1715
2021,6,8,1724
2021,6,15,1718
2021,6,22,1722
2021,6,25,1732
2021,6,30,1740
2021,7,19,1730
2021,7,22,1724
2021,7,29,1717
2021,8,6,1712
2021,8,11,1718
2021,8,17,1728
2021,8,22,1740
2021,8,25,1746
2021,9,29,1753
2021,10,12,1761
2021,10,19,1765
2021,10,22,1769
2021,11,9,1774
2021,11,19,1764
2021,11,24,1775
2021,11,29,1782
2021,12,6,1772
2021,12,10,1767
2021,12,13,1759
2021,12,24,1750
2021,1,12,1739
2021,1,23,1732
2021,1,25,1741
2021,1,28,1748
2021,2,4,1754
2021,2,8,1763
2021,2,20,1752
2021,3,3,1742
2021,3,7,1735
2022,5,9,1726
2022,6,22,1719
2022,6,25,1717
2022,7,1,1710
2022,7,14,1719
2022,7,22,1713
2022,7,26,1707
2022,8,5,1718
2022,8,24,1711
2022,9,2,1714
2022,9,5,1708
2022,9,27,1702
2022,10,12,1706
2022,10,16,1701
2022,10,28,1709
2022,11,1,1700
2022,11,8,1692
2022,11,16,1699
2022,11,24,1693
2022,11,28,1693
2022,2,1,1693
2022,3,2,1693
