年,月,日,レーティング
2013,4,9,1964
2013,4,18,1951
2013,4,23,1941
2013,5,9,1929
2013,5,17,1933
2013,5,21,1937
2013,5,24,1925
2013,5,30,1914
2013,6,4,1903
2013,6,22,1912
2013,6,25,1920
2013,7,2,1923
2013,7,6,1926
2013,7,10,1918
2013,7,17,1924
2013,7,19,1932
2013,7,23,1921
2013,7,26,1927
2013,7,29,1933
2013,8,8,1923
2013,8,24,1929
2013,8,27,1935
2013,9,4,1941
2013,9,9,1929
2013,9,18,1933
2013,9,27,1938
2013,10,2,1943
2013,10,6,1931
2013,10,8,1939
2013,10,8,1939
2013,10,11,1944
2013,10,15,1951
2013,10,18,1957
2013,10,21,1960
2013,10,23,1964
2013,10,27,1967
2013,10,31,1970
2013,11,7,1973
2013,11,10,1977
2013,11,15,1965
2013,11,21,1953
2013,11,25,1958
2013,12,2,1962
2013,12,10,1967
2013,12,12,1971
2013,12,20,1976
2013,12,22,1964
2013,1,10,1951
2013,1,12,1956
2013,1,17,1947
2013,1,21,1951
2013,1,21,1955
2013,1,23,1959
2013,1,29,1950
2013,2,5,1957
2013,2,8,1945
2013,2,8,1951
2013,2,18,1958
2013,2,27,1964
2013,3,7,1954
2013,3,12,1960
2013,3,19,1966
2013,3,26,1969
2014,4,8,1959
2014,4,22,1964
2014,4,28,1970
2014,5,8,1973
2014,5,15,1978
2014,5,20,1982
2014,6,2,1987
2014,6,5,1991
2014,6,21,1993
2014,6,25,1997
2014,7,5,1999
2014,7,8,2003
2014,7,21,1990
2014,7,23,1994
2014,7,29,1997
2014,8,1,1984
2014,8,5,1989
2014,8,15,1989
2014,8,20,1977
2014,8,27,1981
2014,8,30,1985
2014,9,2,1989
2014,9,4,1993
2014,9,8,1998
2014,9,10,1986
2014,9,15,1973
2014,9,18,1975
2014,9,24,1980
2014,9,30,1984
2014,10,5,1973
2014,10,7,1977
2014,10,16,1966
2014,10,19,1972
2014,10,23,1973
2014,10,28,1979
2014,10,31,1982
2014,11,7,1971
2014,11,16,1975
2014,11,18,1965
2014,11,20,1970
2014,11,30,1973
2014,12,1,1961
2014,12,5,1950
2014,12,10,1955
2014,12,22,1960
2014,12,25,1965
2014,1,15,1954
2014,1,26,1956
2014,1,26,1960
2014,2,11,1961
2014,2,14,1952
2014,2,14,1954
2014,2,19,1961
2014,2,21,1966
2014,3,8,1957
2015,4,3,1948
2015,4,8,1953
2015,4,22,1958
2015,5,7,1946
2015,5,12,1951
2015,5,15,1954
2015,5,20,1944
2015,5,28,1949
2015,6,2,1953
2015,6,16,1959
2015,7,4,1949
2015,7,7,1955
2015,7,15,1959
2015,7,21,1965
2015,8,3,1969
2015,8,5,1957
2015,8,9,1945
2015,8,18,1932
2015,8,21,1937
2015,8,26,1940
2015,9,2,1944
2015,9,12,1951
2015,9,17,1941
2015,9,24,1932
2015,10,2,1923
2015,10,6,1928
2015,10,22,1936
2015,10,26,1925
2015,10,28,1933
2015,10,29,1920
2015,11,9,1926
2015,11,20,1931
2015,11,25,1936
2015,12,4,1942
2015,12,15,1947
2015,1,10,1936
2015,1,21,1925
2015,1,21,1928
2015,1,24,1934
2015,2,4,1939
2015,2,13,1944
2015,2,13,1948
2015,2,16,1952
2015,3,13,1941
2015,3,18,1930
2015,3,24,1920
2015,3,31,1923
2016,4,5,1912
2016,4,14,1919
2016,4,22,1923
2016,5,12,1914
2016,5,20,1905
2016,5,25,1896
2016,5,30,1888
2016,6,3,1880
2016,6,3,1880
2016,6,18,1871
2016,6,25,1878
2016,6,25,1880
2016,6,29,1885
2016,7,2,1875
2016,7,5,1866
2016,7,13,1856
2016,7,20,1863
2016,7,22,1868
2016,7,27,1857
2016,8,1,1863
2016,8,7,1870
2016,8,9,1874
2016,8,22,1879
2016,8,30,1868
