年,月,日,レーティング
2013,4,2,1739
2013,4,5,1733
2013,4,26,1739
2013,5,2,1743
2013,5,2,1750
2013,5,29,1758
2013,6,5,1767
2013,6,9,1759
2013,6,13,1764
2013,6,27,1753
2013,7,3,1760
2013,7,11,1766
2013,7,18,1771
2013,7,25,1764
2013,8,1,1755
2013,8,16,1746
2013,8,22,1736
2013,9,13,1729
2013,9,19,1735
2013,10,4,1726
2013,10,10,1729
2013,10,25,1721
2013,10,27,1724
2013,10,31,1721
2013,11,7,1730
2013,11,14,1720
2013,11,21,1726
2013,11,29,1719
2013,12,5,1724
2013,12,9,1714
2013,12,20,1721
2013,12,27,1712
2013,1,16,1720
2013,1,24,1711
2013,2,13,1717
2013,2,24,1723
2013,3,5,1729
2013,3,13,1734
2013,3,20,1726
2013,3,28,1720
2014,4,3,1730
2014,4,11,1735
2014,4,18,1724
2014,4,23,1728
2014,5,12,1739
2014,5,26,1731
2014,6,5,1738
2014,6,13,1746
2014,6,20,1751
2014,6,27,1760
2014,7,3,1765
2014,7,8,1769
2014,7,14,1782
2014,7,17,1770
2014,7,20,1761
2014,7,21,1770
2014,7,23,1772
2014,8,5,1769
2014,8,12,1769
2014,8,18,1772
2014,8,20,1764
2014,8,27,1760
2014,9,1,1756
2014,9,5,1766
2014,9,10,1756
2014,9,19,1769
2014,9,24,1776
2014,10,2,1772
2014,10,5,1761
2014,10,23,1754
2014,11,13,1747
2014,11,27,1753
2014,12,5,1763
2014,12,25,1766
2014,1,8,1755
2014,1,16,1762
2014,1,23,1765
2014,1,30,1770
2014,2,5,1772
2014,2,16,1778
2014,2,19,1781
2014,2,27,1773
2014,3,5,1763
2014,3,9,1756
2014,3,17,1750
2014,3,27,1760
2015,4,2,1769
2016,4,15,1739
2016,4,22,1730
2016,5,1,1734
2016,5,17,1740
2016,6,1,1748
2016,6,16,1759
2016,6,30,1749
2016,7,5,1757
2016,7,11,1767
2016,7,15,1761
2016,7,21,1754
2016,7,27,1763
2016,8,4,1757
2016,8,9,1750
2016,8,22,1745
2016,8,30,1756
2016,9,12,1766
2016,9,15,1760
2016,9,26,1752
2016,10,2,1747
2016,10,6,1739
2016,10,14,1747
2016,10,27,1749
2016,11,10,1756
2016,11,24,1767
2016,12,1,1775
2016,12,1,1779
2016,12,22,1771
2016,1,20,1775
2016,1,26,1783
2016,2,3,1772
