年,月,日,レーティング
2013,4,1,1637
2013,5,15,1644
2013,6,6,1651
2013,6,20,1645
2013,6,24,1652
2013,6,27,1659
2013,7,11,1650
2013,7,18,1645
2013,7,24,1638
2013,7,29,1649
2013,8,1,1652
2013,8,30,1643
2013,9,2,1637
2013,9,13,1631
2013,9,13,1639
2013,9,19,1631
2013,9,22,1625
2014,4,10,1603
2014,4,18,1594
2014,6,2,1586
2014,6,11,1582
2014,6,15,1577
2014,7,16,1570
2014,8,27,1583
2014,9,1,1590
2014,9,1,1596
2014,9,8,1589
2014,10,1,1600
2014,10,22,1612
2014,10,31,1621
2014,11,12,1616
2014,11,27,1608
2014,12,17,1615
2014,12,24,1619
2014,1,7,1610
2014,1,14,1602
2014,1,21,1591
2014,1,30,1585
2015,4,3,1595
2015,4,7,1585
2015,4,13,1579
2015,5,11,1571
2015,6,10,1563
2015,7,2,1559
2015,7,8,1567
2015,7,14,1559
2015,8,10,1564
2015,9,2,1579
2015,9,8,1586
2015,9,15,1581
2015,9,15,1591
2015,9,24,1603
2015,10,1,1596
2015,10,14,1603
2015,10,22,1610
2015,10,31,1615
2015,11,7,1622
2015,11,11,1617
2015,11,30,1613
2015,12,11,1621
2015,12,11,1633
2015,12,14,1644
2015,12,24,1646
2015,12,28,1651
2015,1,7,1661
2015,1,20,1649
2015,1,29,1637
2015,2,3,1627
2015,2,10,1618
2015,2,25,1613
2015,2,25,1623
2015,3,4,1626
2015,3,9,1622
2015,3,31,1613
2016,4,4,1608
2016,4,13,1597
2016,5,11,1605
2016,5,24,1596
2016,6,9,1606
2016,6,15,1612
2016,6,29,1601
2016,7,20,1609
2016,8,5,1598
2016,8,31,1595
2016,9,7,1588
2016,9,29,1597
2016,10,13,1588
2016,10,19,1579
2016,11,9,1571
2016,12,9,1565
2016,12,9,1574
2016,12,20,1570
2016,1,6,1578
2016,1,11,1586
2016,1,18,1597
2016,1,25,1602
2016,2,3,1597
2016,2,8,1593
2016,2,14,1604
2016,2,14,1611
2016,3,1,1605
2016,3,8,1616
2016,3,22,1621
2017,4,11,1631
2017,4,20,1637
2017,4,25,1646
2017,5,23,1638
2017,5,26,1645
2017,6,2,1655
2017,6,7,1650
2017,6,16,1655
2017,6,22,1658
2017,7,5,1666
2017,7,12,1656
2017,7,19,1666
2017,8,2,1653
2017,8,29,1645
2017,9,20,1653
2017,9,23,1663
2017,9,26,1650
2017,9,27,1640
2017,10,4,1640
2017,10,13,1632
2017,10,18,1637
2017,11,10,1643
2017,11,15,1650
2017,11,30,1661
2017,12,13,1653
2017,12,20,1646
2017,12,26,1648
2017,1,10,1653
2017,1,24,1642
2017,1,31,1652
2017,2,7,1662
2017,2,23,1641
2017,3,7,1650
2017,3,27,1639
2017,3,29,1650
2018,4,4,1653
2018,4,11,1645
2018,4,19,1649
2018,4,24,1646
2019,4,3,1607
2019,4,10,1614
2019,5,6,1601
2019,5,27,1612
2019,5,31,1623
2019,6,12,1617
2019,6,22,1626
2019,6,22,1636
2019,7,1,1630
2019,7,10,1639
2019,7,18,1646
2019,7,22,1651
2019,8,8,1654
2019,8,13,1659
2019,8,21,1661
2019,9,11,1650
2019,10,4,1655
2019,10,23,1646
2019,10,30,1656
2019,11,8,1662
2019,11,13,1651
2019,12,16,1656
2019,12,18,1667
2019,12,24,1674
2019,1,7,1680
2019,1,9,1671
2019,1,22,1663
2019,1,27,1653
2019,1,30,1658
2019,2,5,1662
2019,2,10,1656
2019,2,20,1662
2019,2,20,1664
2019,2,22,1654
2019,2,29,1651
2019,3,9,1662
2019,3,11,1670
2019,3,17,1661
2019,3,23,1656
2019,3,31,1653
2020,4,7,1646
2020,4,10,1640
2020,5,18,1649
2020,6,8,1659
2020,6,13,1652
2020,6,15,1658
2020,6,24,1650
2020,7,8,1654
2020,7,22,1660
2020,7,29,1650
2020,9,2,1648
2021,4,14,1600
2021,5,12,1592
2021,6,9,1585
2021,6,30,1576
2021,7,7,1572
2021,7,21,1579
2021,7,30,1584
2021,8,11,1577
2021,9,15,1585
2021,9,29,1591
2021,10,22,1599
2021,10,27,1596
2021,11,10,1603
2021,12,1,1609
2021,12,8,1615
2021,12,15,1622
2021,1,12,1628
2022,4,7,1629
2022,4,19,1620
2022,6,1,1613
2022,6,22,1622
2022,6,29,1612
2022,7,20,1618
2022,7,28,1625
