年,月,日,レーティング
2013,4,2,1830
2013,4,5,1836
2013,4,18,1844
2013,4,23,1850
2013,4,26,1856
2013,5,10,1851
2013,5,17,1856
2013,5,24,1862
2013,6,6,1868
2013,6,14,1870
2013,6,19,1861
2013,7,13,1871
2013,7,22,1860
2013,7,26,1850
2013,7,30,1844
2013,8,6,1852
2013,8,9,1857
2013,8,11,1865
2013,8,15,1854
2013,9,2,1861
2013,9,5,1851
2013,9,9,1857
2013,9,13,1848
2013,9,24,1856
2013,9,27,1859
2013,10,4,1862
2013,10,11,1864
2013,10,15,1854
2013,10,18,1848
2013,10,22,1840
2013,10,25,1844
2013,10,28,1851
2013,11,3,1858
2013,11,7,1864
2013,11,11,1868
2013,11,15,1855
2013,11,28,1844
2013,12,2,1851
2013,12,12,1856
2013,12,15,1851
2013,12,17,1854
2013,1,17,1844
2013,1,20,1850
2013,1,28,1840
2013,2,2,1843
2013,2,5,1851
2013,3,2,1842
2013,3,3,1845
2013,3,7,1852
2013,3,14,1846
2013,3,23,1835
2014,4,8,1843
2014,4,24,1833
2014,5,13,1840
2014,5,20,1847
2014,5,29,1850
2014,6,18,1857
2014,6,25,1863
2014,7,1,1853
2014,7,11,1858
2014,7,19,1849
2014,7,22,1840
2014,7,26,1847
2014,8,1,1837
2014,8,28,1832
2014,9,10,1839
2014,9,28,1846
2014,10,3,1835
2014,10,9,1828
2014,10,14,1835
2014,10,23,1825
2014,10,31,1833
2014,11,7,1844
2014,11,17,1835
2014,11,20,1842
2014,11,28,1833
2014,12,2,1841
2014,12,5,1833
2014,12,9,1823
2014,12,12,1815
2014,12,25,1807
2014,1,7,1818
2014,1,11,1809
2014,1,15,1803
2014,1,19,1811
2014,1,19,1819
2014,1,22,1813
2014,1,26,1807
2014,1,29,1814
2014,2,6,1824
2014,2,10,1830
2014,2,16,1836
2014,2,24,1846
2014,3,1,1835
2014,3,9,1840
2014,3,12,1846
2014,3,19,1839
2014,3,26,1849
2014,3,31,1858
2015,4,3,1847
2015,4,10,1837
2015,5,12,1841
2015,6,26,1831
2015,7,15,1822
2015,7,25,1813
2015,8,21,1805
2015,8,25,1796
2015,9,3,1804
2015,9,13,1798
2015,9,15,1808
2015,9,27,1794
2015,10,2,1799
2015,10,17,1807
2015,11,11,1816
2015,11,18,1821
2015,11,27,1829
2015,12,6,1836
2015,12,6,1841
2015,12,13,1831
2015,12,17,1821
2015,1,10,1814
2015,1,18,1825
2015,1,21,1819
2015,1,21,1825
2015,1,24,1819
2015,1,28,1814
2015,2,1,1819
2015,2,4,1811
2015,2,16,1806
2015,2,27,1817
2015,2,28,1824
2015,3,4,1814
2015,3,8,1818
2015,3,13,1825
2015,3,18,1836
2016,4,4,1846
2016,4,13,1836
2016,5,19,1842
2016,5,25,1847
2016,5,31,1853
2016,6,8,1861
2016,6,16,1851
2016,6,23,1840
2016,6,30,1827
2016,7,6,1820
2016,7,11,1823
2016,7,21,1814
2016,8,4,1821
