年,月,日,レーティング
2013,4,2,1724
2013,4,17,1730
2013,4,17,1737
2013,4,25,1743
2013,4,30,1732
2013,5,10,1737
2014,4,6,1709
2014,4,10,1713
2014,5,22,1719
2014,5,22,1723
2014,6,5,1732
2014,6,24,1740
2014,7,4,1744
2014,7,17,1750
2014,7,21,1741
2014,7,26,1745
2014,7,29,1755
2014,8,11,1768
2014,8,14,1762
2014,8,18,1755
2014,8,28,1763
2014,9,16,1754
2014,9,25,1764
2014,9,30,1770
2014,10,9,1761
2014,10,16,1765
2014,10,23,1767
2014,10,31,1756
2014,11,6,1761
2014,11,13,1765
2014,11,16,1758
2014,11,27,1751
2014,12,1,1757
2014,12,5,1748
2014,12,11,1751
2014,12,25,1754
2014,1,8,1764
2014,2,5,1772
2014,2,13,1778
2014,2,19,1787
2014,2,24,1794
2014,2,27,1798
2014,3,5,1804
2014,3,9,1811
2014,3,13,1803
2014,3,20,1792
2014,3,24,1783
2014,3,27,1785
2015,4,1,1776
2015,4,9,1783
2015,4,15,1776
2015,5,1,1778
2015,5,7,1770
2015,5,12,1779
2015,5,18,1782
2015,5,22,1785
2015,6,5,1788
2015,6,11,1798
2015,6,28,1805
2015,7,2,1791
2015,7,14,1799
2015,7,17,1788
2015,7,17,1791
2015,7,23,1795
2015,8,12,1802
2015,8,18,1810
2015,8,26,1802
2015,9,17,1793
2015,9,25,1783
2015,10,1,1769
2015,10,13,1759
2015,10,22,1766
2015,10,29,1759
2015,11,5,1762
2015,11,12,1750
2015,11,20,1754
2015,11,25,1746
2015,12,3,1737
2015,12,17,1741
2015,1,7,1735
2015,1,28,1744
2015,2,3,1749
2015,2,10,1752
2015,3,4,1757
2015,3,10,1762
2015,3,17,1753
2015,3,31,1755
2016,4,11,1761
2016,4,22,1770
2016,5,9,1760
2016,5,22,1769
2016,5,23,1760
2017,4,13,1752
2017,4,20,1759
2017,5,2,1767
2017,5,10,1757
2017,5,15,1750
2017,5,23,1760
2017,6,23,1766
2017,6,29,1758
2017,7,9,1765
2017,7,12,1758
2017,7,20,1762
2017,7,27,1756
2017,8,2,1766
2017,8,11,1758
2017,8,14,1750
2017,8,22,1745
2017,8,25,1739
2017,9,8,1750
2017,9,21,1744
2017,10,11,1736
2017,10,27,1741
2017,11,1,1732
2017,11,16,1739
2017,11,30,1731
2017,12,15,1725
2017,12,15,1735
2017,12,21,1727
2017,12,26,1718
2017,1,12,1727
2017,1,18,1736
2017,1,26,1742
2017,2,2,1752
2017,2,15,1758
2017,2,22,1767
2017,3,2,1775
2017,3,9,1777
2017,3,16,1768
2017,3,22,1774
2017,3,28,1765
2018,4,12,1755
2018,4,17,1750
2018,4,20,1755
2018,4,27,1746
2018,5,2,1753
2018,5,6,1760
2018,5,9,1762
2018,5,17,1772
2018,5,22,1766
2018,5,31,1755
2018,6,5,1762
2018,6,14,1769
2018,6,22,1773
2018,7,2,1763
2018,7,6,1756
2018,7,19,1749
2018,7,24,1742
2018,7,28,1744
2018,8,4,1739
2018,8,9,1748
2018,8,12,1742
2018,8,30,1735
2018,9,5,1727
2018,9,5,1730
2018,9,11,1736
2018,9,20,1723
2018,10,18,1731
2018,10,26,1736
2018,11,1,1739
2018,11,7,1748
2018,11,22,1740
2018,11,30,1734
2018,12,13,1743
2018,12,28,1734
2018,1,10,1727
2018,1,16,1736
2018,1,21,1739
2018,2,11,1730
2018,2,14,1721
2018,2,20,1713
2018,2,26,1720
2018,3,6,1721
2018,3,14,1728
2018,3,18,1719
2018,3,26,1711
2019,4,5,1703
2019,5,12,1697
2019,5,24,1689
2019,6,5,1697
2019,6,13,1702
2019,6,20,1712
2019,7,5,1721
2019,7,11,1727
2019,7,18,1721
2019,7,26,1712
2019,7,31,1719
2019,8,9,1710
2019,8,22,1696
2019,8,27,1691
2019,9,12,1685
2019,10,3,1677
2019,10,11,1670
2019,10,31,1660
2019,11,14,1670
2019,11,22,1678
2019,12,5,1666
2019,12,19,1659
2019,1,7,1654
2019,1,23,1663
2019,1,31,1660
2019,2,6,1662
2019,2,13,1671
2019,2,26,1681
2019,3,12,1689
2019,3,19,1694
2019,3,19,1704
2019,3,25,1713
2020,4,7,1722
2020,4,10,1728
2020,4,26,1721
2020,4,30,1726
2020,5,18,1717
2020,6,2,1707
2020,6,11,1698
2020,6,19,1692
2020,7,9,1686
2020,8,7,1681
2020,8,15,1691
2020,8,27,1688
2020,8,31,1697
2020,10,8,1704
2020,10,14,1696
2020,10,19,1688
2020,10,23,1695
2020,10,29,1704
2020,11,6,1717
2020,11,6,1723
2020,11,8,1713
2020,11,12,1705
2020,11,20,1713
2020,11,25,1701
2020,12,3,1692
2020,12,18,1686
2020,12,24,1694
2020,1,6,1686
2020,1,14,1674
2020,1,18,1669
2020,1,18,1671
2020,2,4,1666
2020,2,9,1675
2020,2,17,1670
2020,3,11,1681
2020,3,23,1672
2020,3,30,1670
2021,4,11,1660
2021,5,13,1666
2021,6,3,1659
2021,6,11,1654
2021,6,17,1665
2021,6,23,1659
2021,7,20,1666
2021,7,20,1671
2021,7,27,1676
2021,8,18,1670
2021,8,30,1659
2021,9,16,1669
2021,9,22,1663
2021,9,30,1674
2021,10,6,1667
2021,10,15,1662
2021,10,21,1669
2021,11,16,1680
