年,月,日,レーティング
2013,4,5,1674
2013,4,17,1679
2013,5,15,1672
2013,5,31,1679
2013,6,6,1672
2013,6,16,1665
2013,7,18,1670
2013,8,1,1663
2013,8,16,1672
2013,8,22,1682
2013,9,5,1693
2013,9,19,1686
2013,9,27,1695
2013,10,2,1703
2013,10,10,1707
2013,10,24,1713
2013,10,31,1716
2013,11,10,1726
2013,11,14,1718
2013,11,19,1726
2013,11,26,1720
2013,12,5,1714
2013,12,14,1720
2013,1,10,1713
2013,1,16,1722
2013,1,30,1730
2013,2,13,1738
2013,3,5,1743
2013,3,14,1732
2013,3,17,1743
2014,4,21,1736
2014,4,25,1739
2014,5,2,1729
2014,5,15,1722
2014,6,12,1729
2014,6,17,1723
2014,6,26,1711
2014,7,6,1722
2014,7,9,1709
2014,7,16,1703
2014,7,24,1712
2014,8,27,1706
2014,9,2,1701
2014,10,2,1709
2014,10,6,1703
2014,10,28,1692
2014,11,3,1689
2014,11,6,1693
2014,11,28,1687
2014,11,28,1691
2014,12,4,1696
2014,12,11,1692
2014,1,8,1697
2014,1,13,1707
2014,1,21,1701
2014,1,27,1707
2014,2,6,1696
2014,2,24,1690
2014,3,1,1701
2014,3,17,1696
2014,3,23,1688
2014,3,27,1698
2015,4,16,1704
2015,4,23,1699
2015,5,8,1711
2015,5,12,1706
2015,6,11,1703
2015,6,26,1709
2015,7,2,1713
2015,7,10,1707
2015,7,14,1703
2015,7,23,1705
2015,8,17,1717
2015,8,21,1724
2015,8,27,1718
2015,8,30,1711
2015,9,9,1702
2015,9,9,1712
2015,9,17,1704
2015,10,1,1697
2015,10,19,1707
2015,10,22,1695
2015,11,6,1685
2015,11,12,1692
2015,11,25,1702
2015,12,3,1695
2015,12,17,1689
2015,1,8,1683
2015,1,22,1687
2015,1,28,1684
2015,2,18,1677
2015,2,23,1669
2015,3,4,1678
2015,3,10,1683
2015,3,17,1688
2015,3,22,1698
2015,3,31,1692
2016,4,14,1702
2016,4,26,1698
2016,5,19,1690
2016,5,27,1683
2016,5,29,1679
2016,6,16,1684
2016,6,20,1678
2016,6,30,1682
2016,7,15,1676
2016,7,15,1677
2016,7,21,1672
2016,7,29,1678
2016,7,29,1683
2016,8,4,1671
2016,8,7,1683
2016,8,12,1679
2016,9,2,1674
2016,9,15,1680
2016,10,6,1690
2016,10,27,1698
2016,10,31,1691
2016,11,10,1700
2016,11,17,1706
2016,12,14,1711
2016,12,22,1714
2016,1,6,1720
2016,1,19,1714
2016,1,26,1723
2016,2,10,1732
2016,2,16,1724
2016,3,1,1717
2016,3,9,1709
2016,3,13,1719
2016,3,24,1728
2016,3,29,1734
2017,4,14,1744
2017,4,21,1733
2017,4,24,1742
2017,4,27,1745
2018,4,5,1747
2018,4,16,1735
2018,4,24,1730
2018,5,2,1735
2018,5,17,1727
2018,6,5,1734
2018,6,14,1727
2018,7,17,1721
2018,7,29,1722
2018,8,10,1726
2018,9,10,1721
2018,9,14,1729
2018,9,19,1718
2018,10,18,1714
2018,10,24,1724
2018,11,18,1716
2018,11,21,1710
2018,12,5,1705
2018,12,14,1699
2018,12,19,1688
2018,1,16,1694
2018,1,21,1688
2018,1,25,1697
2018,1,31,1708
2018,2,13,1702
2018,2,21,1691
2018,2,26,1696
2018,3,1,1689
2018,3,8,1698
2018,3,20,1705
2018,3,28,1699
2019,4,5,1692
2019,4,19,1686
2019,4,24,1682
2019,5,10,1688
2019,5,15,1698
2019,5,23,1703
2019,6,13,1698
2019,6,19,1693
2019,6,27,1684
2019,7,11,1694
2019,7,18,1702
2019,7,18,1704
2019,7,28,1708
2019,7,31,1702
2019,8,13,1695
2019,8,29,1705
2019,9,12,1699
2019,9,17,1710
2019,10,3,1699
2019,10,25,1706
2019,10,31,1692
2019,11,14,1685
2019,11,26,1678
2019,12,5,1684
2019,12,19,1674
2019,12,26,1671
2019,12,26,1678
2019,1,10,1685
2019,1,17,1693
2019,1,17,1705
2019,1,23,1714
2019,1,29,1707
2019,2,6,1704
2019,2,11,1695
2019,2,13,1692
2019,2,26,1686
2019,3,12,1678
2019,3,25,1670
2020,4,17,1677
2020,6,11,1663
2020,6,19,1658
2020,6,23,1654
2020,7,9,1664
2020,7,15,1661
2020,7,22,1668
2020,7,30,1662
2020,8,2,1656
2020,8,27,1647
2020,9,1,1641
2020,9,8,1630
2020,9,17,1625
2020,10,8,1634
2020,10,19,1646
2020,10,29,1639
2020,11,12,1649
2020,11,19,1660
2020,12,24,1666
2020,1,8,1660
2020,1,14,1667
2020,1,21,1659
2020,1,29,1653
2020,2,4,1651
2020,2,12,1645
2020,3,4,1639
2020,3,11,1645
2020,3,18,1654
2020,3,24,1646
2021,4,13,1640
2021,4,22,1636
2021,5,13,1631
2021,6,3,1626
2021,6,11,1621
2021,6,13,1616
2021,6,17,1624
2021,6,22,1633
2021,7,15,1623
2021,7,21,1617
2021,8,6,1622
2021,8,22,1629
2021,9,7,1623
2021,9,16,1627
2021,10,5,1622
2021,10,14,1633
2021,10,21,1645
2021,11,11,1653
2021,11,17,1647
2021,11,26,1658
2021,12,2,1653
2021,12,9,1647
2021,12,15,1655
2021,12,23,1664
2021,1,7,1659
2021,1,13,1668
2021,1,16,1676
2021,1,21,1673
2021,1,27,1683
2021,2,3,1675
2021,2,9,1673
2021,2,17,1666
2021,3,4,1658
2021,3,9,1666
2022,4,6,1660
2022,5,2,1670
2022,5,13,1681
