年,月,日,レーティング
2013,4,9,1728
2013,4,17,1741
2013,4,23,1747
2013,5,2,1759
2013,5,5,1751
2013,5,9,1759
2013,5,17,1755
2013,5,21,1749
2013,5,30,1761
2013,6,5,1772
2013,6,21,1780
2013,7,11,1771
2013,7,19,1776
2013,7,25,1787
2013,8,15,1792
2013,8,18,1785
2013,8,28,1792
2013,9,2,1782
2013,9,9,1792
2013,9,12,1801
2013,9,14,1806
2013,9,25,1798
2013,10,17,1790
2013,10,24,1801
2013,10,28,1803
2013,11,7,1813
2013,11,21,1807
2013,11,25,1817
2013,11,28,1821
2013,12,3,1831
2013,12,6,1834
2013,1,19,1838
2013,1,22,1842
2013,1,22,1847
2013,2,2,1850
2013,2,4,1842
2013,2,8,1847
2013,2,28,1840
2013,3,5,1844
2013,3,26,1831
2014,4,2,1838
2014,4,8,1845
2014,4,14,1840
2014,4,17,1847
2014,4,22,1853
2014,4,30,1847
2014,5,8,1853
2014,5,12,1848
2014,5,20,1840
2014,5,26,1835
2014,6,2,1822
2014,6,13,1818
2014,6,17,1810
2014,6,21,1819
2014,7,5,1815
2014,7,9,1811
2014,7,22,1817
2014,9,1,1821
2014,9,12,1812
2014,9,16,1820
2014,9,27,1810
2014,10,3,1802
2014,10,5,1794
2014,10,9,1801
2014,10,16,1794
2014,10,22,1786
2014,10,30,1772
2014,11,6,1765
2014,11,13,1774
2014,11,20,1766
2014,11,30,1759
2014,12,3,1771
2014,12,22,1764
2014,1,9,1756
2014,1,22,1765
2014,1,27,1759
2014,2,6,1752
2014,2,8,1746
2014,2,20,1756
2014,3,1,1749
2014,3,1,1758
2014,3,22,1767
2014,3,25,1776
2015,5,15,1766
2015,5,20,1760
2015,6,11,1752
2015,6,20,1761
2015,6,20,1765
2015,7,3,1767
2015,7,15,1762
2015,8,21,1771
2015,8,26,1766
2015,9,11,1775
2015,9,14,1783
2015,9,26,1786
2015,10,1,1778
2015,10,8,1769
2015,10,14,1762
2015,10,16,1751
2015,10,27,1759
2015,11,10,1750
2015,11,13,1761
2015,11,15,1753
2015,11,16,1761
2015,11,20,1771
2015,11,25,1766
2015,11,27,1758
2015,12,16,1760
2015,12,25,1753
2015,1,8,1757
2015,1,10,1750
2015,1,13,1741
2015,1,29,1753
2015,1,29,1765
2015,2,1,1769
2015,2,5,1761
2015,2,9,1764
2015,2,13,1753
2015,2,13,1760
2015,2,27,1756
2015,3,4,1765
2015,3,9,1757
2015,3,29,1761
2016,4,14,1763
2016,4,19,1754
2016,5,11,1747
2016,5,17,1738
2016,5,27,1730
2016,6,14,1736
2016,6,22,1731
2016,6,28,1733
2016,7,14,1738
2016,7,20,1731
2016,7,27,1726
2016,7,30,1719
2016,8,14,1712
2016,8,23,1705
2017,4,12,1688
2017,6,30,1683
2018,4,6,1641
2018,4,13,1636
2018,5,22,1626
2018,5,22,1637
2018,6,13,1633
2018,6,17,1628
2018,8,5,1633
2018,8,29,1627
2018,9,13,1618
2018,10,7,1613
2018,11,25,1615
2018,12,21,1625
2018,1,22,1621
2018,1,31,1615
2018,2,3,1611
2018,2,14,1622
2018,2,25,1631
2018,3,10,1620
2018,3,12,1616
2018,3,22,1619
2019,4,12,1628
2019,4,24,1625
2019,5,10,1618
2019,6,5,1630
2019,7,5,1626
2019,8,26,1616
2019,10,3,1622
2019,10,3,1634
2019,10,8,1623
2019,10,30,1631
2019,11,17,1624
2019,11,18,1620
2019,11,27,1612
2019,12,20,1618
2019,1,7,1610
2019,2,14,1619
2019,2,20,1611
2019,2,26,1605
2019,3,4,1612
2019,3,6,1604
2019,3,19,1602
2020,4,3,1597
2020,6,10,1587
2020,7,22,1581
2020,8,26,1591
2020,9,4,1594
2020,9,30,1601
2020,9,30,1605
2020,10,5,1597
2020,10,13,1604
2020,11,5,1599
2020,12,15,1609
2020,12,21,1603
2020,12,28,1606
2020,1,19,1600
2020,1,28,1603
2020,2,9,1616
2020,2,28,1623
2020,3,5,1629
2020,3,10,1625
2020,3,18,1633
2020,3,24,1628
2021,4,2,1620
2021,4,7,1632
2021,4,22,1641
2021,4,22,1653
2021,4,27,1648
2021,6,3,1653
2021,6,10,1660
2021,7,7,1653
2021,7,20,1664
2021,7,29,1670
2021,8,18,1672
2021,8,27,1678
2021,9,2,1669
2021,9,22,1664
2021,10,6,1654
2021,11,9,1664
2021,11,25,1674
2021,12,1,1667
2021,12,15,1660
2021,12,28,1670
2021,1,27,1677
2022,4,5,1691
2022,4,15,1679
2022,4,21,1674
2022,6,30,1668
2022,7,8,1660
